,open,close,high,low,volume,total_turnover,SZZSopen,SZZSclose,SZZShigh,SZZSlow,SZZSvolume,SZZStotal_turnover,HS300open,HS300close,HS300high,HS300low,HS300volume,HS300total_turnover,SZCZopen,SZCZclose,SZCZhigh,SZCZlow,SZCZvolume,SZCZtotal_turnover
2007/1/15,1881.467,1986.5389,1986.5389,1881.467,3881263000,23710425918,2660.0701,2794.7009,2795.3311,2658.8789,9176156100,66939481014,2170.9431,2287.342,2287.6841,2170.9431,6640309700,57043453710,7177.2202,7636.4492,7639.5229,7175.4409,917686918,11573812292
2007/1/16,2002.573,2055.0161,2055.0161,1990.8719,4807441800,30689048908,2818.6631,2821.0171,2830.803,2757.2051,11117857400,83325769117,2310.9629,2353.874,2354.4309,2297.238,7636425400,67843434156,7696.2422,8002.8862,8020.9829,7669.0161,946248353,11908306798
2007/1/17,2064.2891,2035.651,2093.8899,1992.5389,5883288700,38375191550,2828.4009,2778.8999,2870.4221,2742.5879,12737748000,96777586649,2360.4099,2308.9309,2393.218,2266.344,8901554000,80008901771,7998.3169,7775.6489,8044.5171,7593.812,1220435479,15253126732
2007/1/18,2025.853,2085.4031,2085.4031,2002.656,5094946000,32208210284,2760.9441,2756.9829,2784.043,2679.7051,11231395600,84133817342,2292.1731,2317.095,2325.5281,2240.2141,7864860600,69894972894,7672.7402,7790.8711,7830.6968,7499.2539,1011542340,13143857939
2007/1/19,2097.5049,2159.6379,2159.646,2097.5049,5792516800,36951910780,2761.886,2832.207,2833.4541,2761.886,12206189400,89644076225,2320.873,2396.093,2396.093,2320.873,8333402200,73538873546,7784.2759,8065.3101,8065.3101,7784.2759,1165879648,14059438876
2007/1/22,2183.437,2258.9861,2259.0291,2183.437,6358920100,40928365323,2857.896,2933.1899,2934.647,2857.896,13857609000,1.03038E+11,2424.8149,2491.313,2491.7109,2424.8149,9389299300,81870488111,8156.7588,8343.0742,8357.4082,8145.7939,1204546562,14581016427
2007/1/23,2267.4541,2261.7849,2268.687,2175.5979,6108017600,39600092963,2964.687,2949.144,2970.6851,2851.9189,14279180300,1.09027E+11,2508.2649,2508.1299,2516.593,2415.1111,10233761600,92812872354,8365.3076,8311.2617,8392.2432,8001.9849,1228934624,15696185298
2007/1/24,2260.707,2283.696,2295.2581,2236.575,5104122200,33928713068,2955.4241,2975.1289,2994.282,2927.7209,12205679000,97516182441,2508.5229,2536.428,2556.0991,2489.9319,8443369700,80277493989,8278.9609,8366.5781,8463.8174,8166.439,993970491,12987461159
2007/1/25,2271.519,2174.239,2271.519,2172.9839,4817566000,32172915840,2946.5039,2857.365,2947.1489,2853.822,11719721500,92960236867,2512.459,2452.8311,2529.4319,2449.051,8105515100,77241720261,8271.8379,8013.25,8293.1992,8000.9922,1000902924,13495442240
2007/1/26,2143.9939,2186.27,2196.2781,2061.6599,4475940500,28778328607,2805.9561,2882.5581,2905.9839,2720.8269,10959913100,84624396154,2415.7461,2512.9221,2524.2429,2356.9819,7865400800,73275675715,7899.0469,8223.3018,8263.3379,7704.0762,1031790700,13510605317
2007/1/29,2201.5859,2260.5959,2261.2419,2201.5859,4564666200,30788164443,2897.2539,2945.2629,2954.3359,2885.8611,11206790600,89180334010,2529.9431,2576.917,2582.405,2521.5029,8545208500,79544859355,8258.3467,8359.9932,8413.3643,8212.0752,1046526594,13913958222
2007/1/30,2271.4741,2255.938,2280.7251,2230.6521,5024768700,33163100591,2959.3979,2930.562,2980.51,2901.762,11193172100,87664383237,2586.5229,2551.884,2599.4519,2531.7759,7821152800,73485012977,8391.3311,8262.335,8410.7393,8224.835,941419164,12750379340
2007/1/31,2251.3181,2142.8911,2258.698,2129.7859,4904692400,32828621831,2926.075,2786.335,2929.646,2766.7471,11426597000,86136968623,2544.3,2385.335,2548.175,2367.6699,8090913700,71945032667,8281.1641,7632.938,8281.1641,7579.918,1029361045,13599557812
2007/2/1,2120.0071,2165.405,2176.1951,2080.1621,4233884500,27578619714,2744.814,2785.4319,2801.689,2706.291,9344353100,69672869134,2350.5959,2395.1721,2410.4221,2310.5691,6507809500,57578101142,7513.4409,7700.644,7763.6792,7393.668,856094728,11282002389
2007/2/2,2170.03,2127.104,2190.958,2124.2981,3861061000,25752753793,2791.49,2673.2119,2796.436,2666.8621,8544623600,65092192877,2397.0581,2298.0029,2403.6189,2293.2771,5937715400,53535112102,7684.1938,7348.0342,7711.9878,7339.8589,733443940,9530908535
2007/2/5,2122.3689,2152.25,2166.094,2118.8711,3013411000,20119479185,2658.074,2612.5371,2672.3521,2610.3311,6922451200,54541808882,2282.77,2271.7971,2304.3181,2247.929,4758750600,42358010146,7280.9419,7292.9468,7373.98,7144.5,647655907,8413817042
