,order_book_id,pb,pe_ttm,trade_date
0,000905.XSHG,2.3629,50.1822,2007-01-15
1,000905.XSHG,2.4456,51.9405,2007-01-16
2,000905.XSHG,2.4222,51.4423,2007-01-17
3,000905.XSHG,2.4751,52.5654,2007-01-18
4,000905.XSHG,2.5639,54.4515,2007-01-19
5,000905.XSHG,2.6741,56.8537,2007-01-22
6,000905.XSHG,2.675,56.8732,2007-01-23
7,000905.XSHG,2.7032,57.4005,2007-01-24
8,000905.XSHG,2.5783,54.7301,2007-01-25
9,000905.XSHG,2.5908,54.7437,2007-01-26
10,000905.XSHG,2.6786,56.4395,2007-01-29
11,000905.XSHG,2.6771,56.4088,2007-01-30
12,000905.XSHG,2.5327,53.639,2007-01-31
13,000905.XSHG,2.5544,54.0898,2007-02-01
14,000905.XSHG,2.5086,53.1287,2007-02-02
15,000905.XSHG,2.5256,53.0139,2007-02-05
16,000905.XSHG,2.5799,54.1455,2007-02-06
17,000905.XSHG,2.6248,55.0708,2007-02-07
18,000905.XSHG,2.672,55.9624,2007-02-08
19,000905.XSHG,2.6799,56.0313,2007-02-09
20,000905.XSHG,2.7376,56.7595,2007-02-12
21,000905.XSHG,2.788,57.8098,2007-02-13
22,000905.XSHG,2.8485,59.0018,2007-02-14
23,000905.XSHG,2.9356,60.7723,2007-02-15
24,000905.XSHG,2.9626,61.0712,2007-02-16
25,000905.XSHG,3.0776,63.2396,2007-02-26
26,000905.XSHG,2.8061,57.6613,2007-02-27
27,000905.XSHG,2.9306,60.2197,2007-02-28
28,000905.XSHG,2.8678,58.9179,2007-03-01
29,000905.XSHG,2.9191,59.9258,2007-03-02
30,000905.XSHG,2.9226,59.979,2007-03-05
31,000905.XSHG,2.93,60.1295,2007-03-06
32,000905.XSHG,3.004,61.5027,2007-03-07
33,000905.XSHG,3.0622,62.5774,2007-03-08
34,000905.XSHG,3.056,62.5089,2007-03-09
35,000905.XSHG,3.1106,61.9738,2007-03-12
36,000905.XSHG,3.145,62.6596,2007-03-13
37,000905.XSHG,3.1202,62.1628,2007-03-14
38,000905.XSHG,3.1868,63.4763,2007-03-15
39,000905.XSHG,3.1296,62.148,2007-03-16
40,000905.XSHG,3.1713,62.9403,2007-03-19
41,000905.XSHG,3.2368,64.1052,2007-03-20
42,000905.XSHG,3.2851,64.6595,2007-03-21
43,000905.XSHG,3.287,64.659,2007-03-22
44,000905.XSHG,3.3284,65.2819,2007-03-23
45,000905.XSHG,3.4161,66.6553,2007-03-26
