,close
2007/1/16,2055.0161
2007/1/17,2035.651
2007/1/18,2085.4031
2007/1/19,2159.6379
2007/1/22,2258.9861
2007/1/23,2261.7849
2007/1/24,2283.696
2007/1/25,2174.239
2007/1/26,2186.27
2007/1/29,2260.5959
2007/1/30,2255.938
2007/1/31,2142.8911
2007/2/1,2165.405
2007/2/2,2127.104
2007/2/5,2152.25
2007/2/6,2198.239
2007/2/7,2237.9441
2007/2/8,2278.4451
2007/2/9,2287.3811
2007/2/12,2341.072
2007/2/13,2384.158
2007/2/14,2435.959
2007/2/15,2512.4021
2007/2/16,2541.4089
2007/2/26,2642.114
2007/2/27,2405.574
2007/2/28,2513.533
2007/3/1,2459.511
2007/3/2,2503.677
2007/3/5,2511.916
2007/3/6,2516.0029
2007/3/7,2580.5969
2007/3/8,2634.8789
2007/3/9,2638.0471
2007/3/12,2696.4971
2007/3/13,2727.4551
2007/3/14,2708.687
2007/3/15,2760.844
2007/3/16,2710.8611
2007/3/19,2751.4771
2007/3/20,2810.7141
2007/3/21,2859.0061
2007/3/22,2861.146
2007/3/23,2897.999
2007/3/26,2989.051
2007/3/27,3039.5339
2007/3/28,3004.2949
2007/3/29,2894.7791
2007/3/30,2926.064
2007/4/2,2993.6299
2007/4/3,3042.4609
2007/4/4,3078.9009
2007/4/5,3133.1421
2007/4/6,3182.7971
2007/4/9,3240.302
2007/4/10,3261.5271
2007/4/11,3309.7451
2007/4/12,3387.4121
2007/4/13,3358.6321
2007/4/16,3458.0669
2007/4/17,3558.2161
2007/4/18,3649.7141
2007/4/19,3435.78
2007/4/20,3614.3911
2007/4/23,3782.2561
2007/4/24,3821.416
2007/4/25,3805.0459
2007/4/26,3853.269
2007/4/27,3845.813
2007/4/30,3903.689
2007/5/8,4091.1331
2007/5/9,4099.126
2007/5/10,4128.0811
2007/5/11,4109.4028
2007/5/14,4133.8262
2007/5/15,3998.7771
2007/5/16,4118.1392
2007/5/17,4221.9131
2007/5/18,4235.1851
2007/5/21,4364.1558
2007/5/22,4459.813
2007/5/23,4582.3062
2007/5/24,4571.7139
2007/5/25,4649.8569
2007/5/28,4761.7012
2007/5/29,4853.6431
2007/5/30,4456.2788
2007/5/31,4267.7808
2007/6/1,3960.4419
2007/6/4,3618.688
2007/6/5,3659.9409
2007/6/6,3736.9309
2007/6/7,3936.7661
2007/6/8,4002.8679
2007/6/11,4104.5508
2007/6/12,4218.436
2007/6/13,4372.5298
2007/6/14,4311.9751
2007/6/15,4316.5298
2007/6/18,4439.1851
2007/6/19,4529.0332
2007/6/20,4396.2178
2007/6/21,4374.4878
2007/6/22,4123.2148
2007/6/25,3851.9441
2007/6/26,3928.7029
2007/6/27,4022.313
2007/6/28,3757.978
2007/6/29,3585.4861
2007/7/2,3644.79
2007/7/3,3704.7061
2007/7/4,3622.5181
2007/7/5,3380.179
2007/7/6,3591.377
2007/7/9,3711.7141
2007/7/10,3606.187
2007/7/11,3653.311
2007/7/12,3671.175
2007/7/13,3655.845
2007/7/16,3532.064
2007/7/17,3610.3821
2007/7/18,3624.3411
2007/7/19,3640.282
2007/7/20,3788.7439
2007/7/23,3984.7881
2007/7/24,3993.019
2007/7/25,4106.8262
2007/7/26,4190.8809
2007/7/27,4269.7671
2007/7/30,4353.0918
2007/7/31,4403.584
2007/8/1,4161.1348
2007/8/2,4336.811
2007/8/3,4408.0469
2007/8/6,4504.3442
2007/8/7,4470.1421
2007/8/8,4395.4268
2007/8/9,4442.0601
2007/8/10,4348.811
2007/8/13,4329.7651
2007/8/14,4436.2061
2007/8/15,4412.7949
2007/8/16,4438.959
2007/8/17,4390.8828
2007/8/20,4570.5708
2007/8/21,4625.2798
2007/8/22,4685.0581
2007/8/23,4733.8389
2007/8/24,4742.9531
2007/8/27,4724.5439
2007/8/28,4729.791
2007/8/29,4701.439
2007/8/30,4843.707
2007/8/31,4897.6362
2007/9/3,5008.833
2007/9/4,4980.5288
2007/9/5,5010.729
2007/9/6,5065.5151
2007/9/7,4939.231
2007/9/10,5038.9409
2007/9/11,4718.312
2007/9/12,4770.769
2007/9/13,4872.6611
2007/9/14,4936.6938
2007/9/17,5047.5972
2007/9/18,5096.2388
2007/9/19,5029.1011
2007/9/20,5079.0781
2007/9/21,5028.8428
2007/9/24,5054.73
2007/9/25,5013.0601
2007/9/26,4932.521
2007/9/27,4972.7158
2007/9/28,5083.6499
2007/10/8,5088.5962
2007/10/9,5141.8921
2007/10/10,5109.1001
2007/10/11,5005.498
2007/10/12,4891.3862
2007/10/15,4890.5962
2007/10/16,4943.5591
2007/10/17,4929.5361
2007/10/18,4814.4619
2007/10/19,4813.9521
2007/10/22,4688.292
2007/10/23,4688.7222
2007/10/24,4596.6348
2007/10/25,4251.4971
2007/10/26,4228.9458
2007/10/29,4288.7891
2007/10/30,4388.3271
2007/10/31,4550.1831
2007/11/1,4431.0991
2007/11/2,4329.6309
2007/11/5,4361.8721
2007/11/6,4395.0112
2007/11/7,4385.856
2007/11/8,4205.6499
2007/11/9,4153.2358
2007/11/12,4098.5562
2007/11/13,4114.5088
2007/11/14,4263.9951
2007/11/15,4210.7041
2007/11/16,4217.228
2007/11/19,4313.2798
2007/11/20,4371.6758
2007/11/21,4308.4219
2007/11/22,4113.3091
2007/11/23,4193.98
2007/11/26,4151.876
2007/11/27,4108.9512
2007/11/28,4078.041
2007/11/29,4185.2671
2007/11/30,4122.9321
2007/12/3,4170.2632
2007/12/4,4194.0151
2007/12/5,4273.0449
2007/12/6,4291.0679
2007/12/7,4362.2202
2007/12/10,4483.8311
2007/12/11,4534.937
2007/12/12,4544.6812
2007/12/13,4402.6362
2007/12/14,4499.5298
2007/12/17,4506.042
2007/12/18,4467.812
2007/12/19,4565.6221
2007/12/20,4621.3931
2007/12/21,4691.5332
2007/12/24,4772.6382
2007/12/25,4815.209
2007/12/26,4912.8408
2007/12/27,4963.4531
2007/12/28,4947.603
2008/1/2,5123.9341
2008/1/3,5230.749
2008/1/4,5243.0322
2008/1/7,5347.8062
2008/1/8,5200.5518
2008/1/9,5356.4819
2008/1/10,5382.3262
2008/1/11,5376.7969
2008/1/14,5445.1021
2008/1/15,5487.0879
2008/1/16,5412.9111
2008/1/17,5270.9561
2008/1/18,5317.4482
2008/1/21,5097.2261
2008/1/22,4661.8262
2008/1/23,4912.0581
2008/1/24,5080.9258
2008/1/25,5096.6899
2008/1/28,4740.501
2008/1/29,4840.6362
2008/1/30,4851.4258
2008/1/31,4663.415
2008/2/1,4456.9268
2008/2/4,4820.3872
2008/2/5,4838.9951
2008/2/13,4813.5811
2008/2/14,4910.3579
2008/2/15,4886.0161
2008/2/18,5043.144
2008/2/19,5133.3608
2008/2/20,5089.439
2008/2/21,5153.6011
2008/2/22,5029.1982
2008/2/25,4869.6538
2008/2/26,4868.814
2008/2/27,4977.335
2008/2/28,4989.4121
2008/2/29,5057.6172
2008/3/3,5227.7319
2008/3/4,5192.5928
2008/3/5,5214.2378
2008/3/6,5223.8198
2008/3/7,5115.916
2008/3/10,4948.353
2008/3/11,5015.9321
2008/3/12,4881.0298
2008/3/13,4688.6792
2008/3/14,4662.3159
2008/3/17,4302.6138
2008/3/18,3986.3191
2008/3/19,4176.4858
2008/3/20,4347.7432
2008/3/21,4405.856
2008/3/24,4314.5811
2008/3/25,4367.3408
2008/3/26,4352.0532
2008/3/27,4119.7852
2008/3/28,4241.4521
2008/3/31,4044.0979
2008/4/1,3704.2729
2008/4/2,3500.522
2008/4/3,3588.762
2008/4/7,3822.3711
2008/4/8,3908.802
2008/4/9,3695.3059
2008/4/10,3803.4561
2008/4/11,3862.363
