date,close,volume,open,high,low
2019/3/12,113.62,26103480,112.82,113.99,112.6499
2019/3/11,112.83,24525610,110.99,112.95,110.98
2019/3/8,110.51,22803110,109.16,110.71,108.8
2019/3/7,110.39,25320540,111.4,111.55,109.865
2019/3/6,111.75,17651130,111.87,112.66,111.43
2019/3/5,111.7,19090780,112.25,112.39,111.23
2019/3/4,112.26,25869380,113.02,113.25,110.8
2019/3/1,112.53,20821260,112.89,113.02,111.665
2019/2/28,112.03,28948570,112.04,112.88,111.73
2019/2/27,112.17,21471170,111.69,112.36,110.88
2019/2/26,112.36,21513210,111.26,113.24,111.17
2019/2/25,111.59,23723500,111.76,112.18,111.26
2019/2/22,110.97,27746840,110.05,111.2,109.82
2019/2/21,109.41,28856200,106.9,109.48,106.87
2019/2/20,107.15,21603580,107.86,107.94,106.29
2019/2/19,108.17,17982860,107.79,108.66,107.78
2019/2/15,108.22,26589160,107.91,108.3,107.3624
2019/2/14,106.9,21745770,106.31,107.29,105.66
2019/2/13,106.81,18337830,107.5,107.78,106.71
2019/2/12,106.89,25018670,106.14,107.14,105.48
2019/2/11,105.25,18753750,106.2,106.58,104.965
2019/2/8,105.67,21453990,104.39,105.78,104.2603
2019/2/7,105.27,29735930,105.185,105.59,104.29
2019/2/6,106.03,20577980,107,107,105.53
2019/2/5,107.22,27270810,106.06,107.27,105.96
2019/2/4,105.74,31216260,102.87,105.8,102.77
2019/2/1,102.78,35243730,103.775,104.0999,102.35
2019/1/31,104.43,55442870,103.8,105.22,103.18
2019/1/30,106.38,47203190,104.62,106.38,104.33
2019/1/29,102.94,31262200,104.88,104.97,102.17
2019/1/28,105.08,29402020,106.26,106.48,104.66
2019/1/25,107.17,31182240,107.24,107.88,106.59
2019/1/24,106.2,23125910,106.86,107,105.34
2019/1/23,106.71,25512110,106.12,107.04,105.34
2019/1/22,105.68,32092050,106.75,107.1,104.86
2019/1/18,107.71,37299850,107.46,107.9,105.91
2019/1/17,106.12,27151570,105,106.625,104.76
2019/1/16,105.38,29655860,105.26,106.255,104.96
2019/1/15,105.01,31537490,102.51,105.05,101.88
2019/1/14,102.05,27194560,101.9,102.8716,101.26
2019/1/11,102.8,28235260,103.19,103.44,101.64
2019/1/10,103.6,29978930,103.22,103.75,102.38
2019/1/9,104.27,32261890,103.86,104.88,103.2445
2019/1/8,102.8,31322920,103.04,103.97,101.7134
2019/1/7,102.06,35567820,101.64,103.2681,100.98
2019/1/4,101.93,43982700,99.72,102.51,98.93
2019/1/3,97.4,42111650,100.1,100.185,97.2
2019/1/2,101.12,35145360,99.55,101.75,98.94
2018/12/31,101.57,33161320,101.29,102.4,100.44
2018/12/28,100.39,38160810,102.09,102.41,99.52
2018/12/27,101.18,49162950,99.3,101.19,96.4
2018/12/26,100.56,51330280,95.14,100.69,93.96
2018/12/24,94.13,43935190,97.68,97.97,93.98
2018/12/21,98.23,110945000,101.63,103,97.46
2018/12/20,101.51,70221500,103.05,104.31,98.78
2018/12/19,103.69,68110780,103.65,106.88,101.35
2018/12/18,103.97,48033550,103.75,104.51,102.52
2018/12/17,102.89,56837160,105.41,105.8,101.71
2018/12/14,106.03,46961130,108.25,109.26,105.5
2018/12/13,109.45,30600890,109.58,110.87,108.63
2018/12/12,109.08,36169700,110.89,111.27,109.04
2018/12/11,108.59,42342240,109.8,110.95,107.44
2018/12/10,107.59,40463870,104.8,107.98,103.89
2018/12/7,104.82,44391210,108.38,109.45,104.3
2018/12/6,109.19,47866160,105.82,109.24,105
2018/12/4,108.52,44572140,111.94,112.6373,108.2115
2018/12/3,112.09,34293960,113,113.42,110.73
2018/11/30,110.89,33652230,110.7,110.97,109.36
2018/11/29,110.19,27792540,110.33,111.115,109.03
2018/11/28,111.12,46132310,107.89,111.33,107.86
2018/11/27,107.14,29063180,106.27,107.33,105.36
2018/11/26,106.47,32258530,104.79,106.63,104.58
2018/11/23,103.07,13823100,102.17,103.8099,102
2018/11/21,103.11,28121990,103.6,104.43,102.24
2018/11/20,101.71,63988520,101.8,102.97,99.3528
2018/11/19,104.62,43324610,108.27,108.56,103.55
2018/11/16,108.29,33494830,107.08,108.88,106.8
2018/11/15,107.28,38430970,104.99,107.8,103.91
